Cluster,name,value
1,.ID.,76
1,ppl_scaling,0.189
1,mean_age,56
1,sd_age,13
1,travel_cost,1201
1,value,1037
1,mobility,89
1,k,0.868
1,r,0.038
1,maturity,6
1,max_age,100
1,dispersion,10
1,.PARENT.,11
1,.ID.,85
1,ppl_scaling,0.168
1,mean_age,56
1,sd_age,14
1,travel_cost,1253
1,value,395
1,mobility,98
1,k,0.859
1,r,0.022
1,maturity,15
1,max_age,102
1,dispersion,20
1,.PARENT.,63
1,.ID.,135
1,ppl_scaling,0.083
1,mean_age,59
1,sd_age,14
1,travel_cost,1220
1,value,1023
1,mobility,82
1,k,0.862
1,r,0.011
1,maturity,5
1,max_age,114
1,dispersion,12
1,.PARENT.,76
1,.ID.,137
1,ppl_scaling,0.083
1,mean_age,57
1,sd_age,13
1,travel_cost,971
1,value,518
1,mobility,85
1,k,0.861
1,r,0.007
1,maturity,14
1,max_age,102
1,dispersion,20
1,.PARENT.,85
1,.ID.,141
1,ppl_scaling,0.223
1,mean_age,62
1,sd_age,14
1,travel_cost,1353
1,value,918
1,mobility,67
1,k,0.943
1,r,0.037
1,maturity,5
1,max_age,115
1,dispersion,11
1,.PARENT.,135
2,.ID.,67
2,ppl_scaling,0.287
2,mean_age,54
2,sd_age,10
2,travel_cost,1960
2,value,883
2,mobility,96
2,k,0.978
2,r,0.022
2,maturity,10
2,max_age,102
2,dispersion,1
2,.PARENT.,35
2,.ID.,91
2,ppl_scaling,0.057
2,mean_age,57
2,sd_age,12
2,travel_cost,345
2,value,304
2,mobility,59
2,k,0.908
2,r,0.012
2,maturity,9
2,max_age,133
2,dispersion,4
2,.PARENT.,70
2,.ID.,92
2,ppl_scaling,0.17
2,mean_age,62
2,sd_age,10
2,travel_cost,1329
2,value,382
2,mobility,72
2,k,0.877
2,r,0.012
2,maturity,13
2,max_age,121
2,dispersion,4
2,.PARENT.,70
2,.ID.,115
2,ppl_scaling,0.197
2,mean_age,52
2,sd_age,10
2,travel_cost,1156
2,value,978
2,mobility,91
2,k,0.956
2,r,0.02
2,maturity,9
2,max_age,106
2,dispersion,12
2,.PARENT.,67
2,.ID.,121
2,ppl_scaling,0.004
2,mean_age,63
2,sd_age,12
2,travel_cost,144
2,value,448
2,mobility,66
2,k,0.902
2,r,0.002
2,maturity,9
2,max_age,132
2,dispersion,6
2,.PARENT.,91
3,.ID.,54
3,ppl_scaling,0.159
3,mean_age,56
3,sd_age,11
3,travel_cost,209
3,value,78
3,mobility,94
3,k,0.875
3,r,0.01
3,maturity,12
3,max_age,99
3,dispersion,14
3,.PARENT.,7
3,.ID.,62
3,ppl_scaling,0.264
3,mean_age,62
3,sd_age,11
3,travel_cost,425
3,value,207
3,mobility,72
3,k,0.899
3,r,0.027
3,maturity,12
3,max_age,87
3,dispersion,16
3,.PARENT.,54
3,.ID.,116
3,ppl_scaling,0.257
3,mean_age,53
3,sd_age,11
3,travel_cost,555
3,value,61
3,mobility,93
3,k,0.804
3,r,0.026
3,maturity,12
3,max_age,117
3,dispersion,11
3,.PARENT.,54
3,.ID.,137
3,ppl_scaling,0.221
3,mean_age,54
3,sd_age,11
3,travel_cost,264
3,value,123
3,mobility,82
3,k,0.92
3,r,0.025
3,maturity,12
3,max_age,92
3,dispersion,16
3,.PARENT.,54
3,.ID.,150
3,ppl_scaling,0.254
3,mean_age,51
3,sd_age,11
3,travel_cost,433
3,value,90
3,mobility,89
3,k,0.712
3,r,0.027
3,maturity,11
3,max_age,127
3,dispersion,12
3,.PARENT.,116
4,.ID.,54
4,ppl_scaling,0.159
4,mean_age,56
4,sd_age,11
4,travel_cost,209
4,value,78
4,mobility,94
4,k,0.875
4,r,0.01
4,maturity,12
4,max_age,99
4,dispersion,14
4,.PARENT.,7
4,.ID.,62
4,ppl_scaling,0.264
4,mean_age,62
4,sd_age,11
4,travel_cost,425
4,value,207
4,mobility,72
4,k,0.899
4,r,0.027
4,maturity,12
4,max_age,87
4,dispersion,16
4,.PARENT.,54
4,.ID.,116
4,ppl_scaling,0.257
4,mean_age,53
4,sd_age,11
4,travel_cost,555
4,value,61
4,mobility,93
4,k,0.804
4,r,0.026
4,maturity,12
4,max_age,117
4,dispersion,11
4,.PARENT.,54
4,.ID.,137
4,ppl_scaling,0.221
4,mean_age,54
4,sd_age,11
4,travel_cost,264
4,value,123
4,mobility,82
4,k,0.92
4,r,0.025
4,maturity,12
4,max_age,92
4,dispersion,16
4,.PARENT.,54
4,.ID.,150
4,ppl_scaling,0.254
4,mean_age,51
4,sd_age,11
4,travel_cost,433
4,value,90
4,mobility,89
4,k,0.712
4,r,0.027
4,maturity,11
4,max_age,127
4,dispersion,12
4,.PARENT.,116
5,.ID.,55
5,ppl_scaling,0.069
5,mean_age,70
5,sd_age,10
5,travel_cost,1434
5,value,622
5,mobility,99
5,k,0.523
5,r,0
5,maturity,13
5,max_age,115
5,dispersion,5
5,.PARENT.,21
5,.ID.,88
5,ppl_scaling,0.038
5,mean_age,68
5,sd_age,12
5,travel_cost,606
5,value,421
5,mobility,81
5,k,0.702
5,r,0.032
5,maturity,11
5,max_age,86
5,dispersion,5
5,.PARENT.,85
5,.ID.,99
5,ppl_scaling,0.103
5,mean_age,70
5,sd_age,11
5,travel_cost,1502
5,value,1002
5,mobility,98
5,k,0.587
5,r,0.007
5,maturity,15
5,max_age,127
5,dispersion,7
5,.PARENT.,55
5,.ID.,120
5,ppl_scaling,0.102
5,mean_age,68
5,sd_age,11
5,travel_cost,1316
5,value,1007
5,mobility,89
5,k,0.7
5,r,0.009
5,maturity,13
5,max_age,118
5,dispersion,9
5,.PARENT.,99
5,.ID.,122
5,ppl_scaling,0.012
5,mean_age,66
5,sd_age,12
5,travel_cost,957
5,value,1103
5,mobility,65
5,k,0.527
5,r,0.016
5,maturity,15
5,max_age,140
5,dispersion,12
