Cluster,name,value
1,.ID.,536
1,ppl_scaling,0.044
1,mean_age,53
1,sd_age,14
1,travel_cost,1925
1,value,336
1,mobility,43
1,k,0.938
1,r,0.015
1,maturity,10
1,max_age,97
1,dispersion,1
1,.PARENT.,402
1,.ID.,539
1,ppl_scaling,0.091
1,mean_age,55
1,sd_age,13
1,travel_cost,1657
1,value,417
1,mobility,52
1,k,0.973
1,r,0.018
1,maturity,10
1,max_age,101
1,dispersion,3
1,.PARENT.,402
1,.ID.,547
1,ppl_scaling,0.079
1,mean_age,53
1,sd_age,14
1,travel_cost,1831
1,value,395
1,mobility,57
1,k,0.955
1,r,0.016
1,maturity,10
1,max_age,95
1,dispersion,2
1,.PARENT.,539
1,.ID.,568
1,ppl_scaling,0.048
1,mean_age,56
1,sd_age,13
1,travel_cost,1655
1,value,458
1,mobility,50
1,k,0.949
1,r,0.014
1,maturity,9
1,max_age,100
1,dispersion,2
1,.PARENT.,539
1,.ID.,620
1,ppl_scaling,0.066
1,mean_age,54
1,sd_age,14
1,travel_cost,1872
1,value,392
1,mobility,42
1,k,0.956
1,r,0.014
1,maturity,10
1,max_age,100
1,dispersion,2
1,.PARENT.,536
2,.ID.,544
2,ppl_scaling,0.124
2,mean_age,51
2,sd_age,14
2,travel_cost,1043
2,value,218
2,mobility,77
2,k,0.908
2,r,0.013
2,maturity,11
2,max_age,102
2,dispersion,12
2,.PARENT.,455
2,.ID.,554
2,ppl_scaling,0.132
2,mean_age,51
2,sd_age,15
2,travel_cost,617
2,value,349
2,mobility,68
2,k,0.919
2,r,0.012
2,maturity,13
2,max_age,98
2,dispersion,12
2,.PARENT.,455
2,.ID.,558
2,ppl_scaling,0.144
2,mean_age,52
2,sd_age,14
2,travel_cost,657
2,value,249
2,mobility,77
2,k,0.911
2,r,0.016
2,maturity,12
2,max_age,102
2,dispersion,12
2,.PARENT.,455
2,.ID.,578
2,ppl_scaling,0.144
2,mean_age,53
2,sd_age,15
2,travel_cost,512
2,value,366
2,mobility,63
2,k,0.937
2,r,0.016
2,maturity,13
2,max_age,102
2,dispersion,11
2,.PARENT.,554
2,.ID.,580
2,ppl_scaling,0.14
2,mean_age,51
2,sd_age,14
2,travel_cost,1203
2,value,167
2,mobility,77
2,k,0.919
2,r,0.017
2,maturity,12
2,max_age,101
2,dispersion,10
2,.PARENT.,544
3,.ID.,618
3,ppl_scaling,0.026
3,mean_age,66
3,sd_age,15
3,travel_cost,1401
3,value,501
3,mobility,89
3,k,0.799
3,r,0.002
3,maturity,11
3,max_age,97
3,dispersion,12
3,.PARENT.,282
3,.ID.,683
3,ppl_scaling,0.015
3,mean_age,65
3,sd_age,15
3,travel_cost,1356
3,value,421
3,mobility,90
3,k,0.79
3,r,0
3,maturity,11
3,max_age,95
3,dispersion,13
3,.PARENT.,618
3,.ID.,689
3,ppl_scaling,0.021
3,mean_age,67
3,sd_age,15
3,travel_cost,1570
3,value,456
3,mobility,87
3,k,0.82
3,r,0.002
3,maturity,11
3,max_age,98
3,dispersion,13
3,.PARENT.,618
3,.ID.,692
3,ppl_scaling,0.011
3,mean_age,67
3,sd_age,15
3,travel_cost,1359
3,value,500
3,mobility,81
3,k,0.808
3,r,0.001
3,maturity,11
3,max_age,94
3,dispersion,12
3,.PARENT.,618
3,.ID.,706
3,ppl_scaling,0.005
3,mean_age,67
3,sd_age,15
3,travel_cost,1357
3,value,464
3,mobility,85
3,k,0.802
3,r,0
3,maturity,11
3,max_age,95
3,dispersion,11
3,.PARENT.,692
5,.ID.,473
